"","Value","converged","TOTAL","Catch","Equil_catch","Survey","Length_comp","Age_comp","Recruitment","InitEQ_Regime","Forecast_Recruitment","Parm_priors","Parm_softbounds","Parm_devs","Crash_Pen","max_grad"
"1",0.1,TRUE,2639.9,1.92034e-09,0,34.2529,572.036,2008.23,24.4004,0,0,0.978353,0.00583764,0,0,0.000945378
"2",0.125,TRUE,2628.02,4.10869e-10,0,28.9511,569.647,2005.64,23.5443,0,0,0.230524,0.00577697,0,0,0.000139185
"3",0.15,TRUE,2621.77,1.11515e-10,0,25.791,568.685,2003.6,23.6815,0,0,0.00412876,0.00573206,0,0,0.00285969
"4",0.170632,TRUE,2620.26,4.24505e-11,0,24.5754,569.086,2002.35,24.1847,0,0,0.0527642,0.00571359,0,0,0.00289873
"5",0.175,TRUE,2620.32,3.49718e-11,0,24.462,569.298,2002.16,24.315,0,0,0.0825761,0.00571121,0,0,0.00177932
"6",0.2,TRUE,2623.04,1.21225e-11,0,24.6742,571.412,2001.49,25.1127,0,0,0.350398,0.00570871,0,0,0.00139375
"7",0.225,TRUE,2629.34,4.53537e-12,0,26.1781,575.25,2001.33,25.8356,0,0,0.740643,0.00576345,0,0,0.00123855
"8",0.25,TRUE,2638.5,1.92223e-12,0,28.7268,580.663,2001.6,26.2911,0,0,1.21205,0.00654291,0,0,0.00470588
