"","Value","converged","TOTAL","Catch","Equil_catch","Survey","Length_comp","Age_comp","Recruitment","InitEQ_Regime","Forecast_Recruitment","Parm_priors","Parm_softbounds","Parm_devs","Crash_Pen","max_grad"
"1",0.1,TRUE,2618,2.14835e-09,0,34.3607,575.582,1981.96,25.1143,0,0,0.978353,0.00583298,0,0,0.000459585
"2",0.25,TRUE,2616.35,2.18941e-12,0,28.4088,583.404,1976.16,27.1633,0,0,1.21205,0.00648596,0,0,0.00205715
"3",0.3,TRUE,2642.06,4.24829e-13,0,33.7266,594.973,1983.59,27.4615,0,0,2.3007,0.00941917,0,0,0.00250434
"4",0.325,FALSE,2658.03,1.18047e-12,0,34.5453,608.422,1985.45,26.7116,4.09254e-32,0,2.8879,0.0125904,0,0,0.0391214
"5",0.35,TRUE,2677.36,3.32062e-12,0,35.977,617.618,1993.6,26.6597,0,0,3.491,0.0149724,0,0,0.00205798
