"Label","M152, 2D-AR trawl sel","M146, pre-STAR base"
"CA_TWL_ARDEV_y1979_Lbin29",-0.164426,NA
"CA_TWL_ARDEV_y1979_Lbin30",-0.0544682,NA
"CA_TWL_ARDEV_y1979_Lbin31",-0.163408,NA
"CA_TWL_ARDEV_y1979_Lbin32",-0.0243484,NA
"CA_TWL_ARDEV_y1979_Lbin33",-0.180533,NA
"CA_TWL_ARDEV_y1979_Lbin34",0.135082,NA
"CA_TWL_ARDEV_y1979_Lbin35",0.164375,NA
"CA_TWL_ARDEV_y1979_Lbin36",-0.0877003,NA
"CA_TWL_ARDEV_y1979_Lbin37",-0.0769163,NA
"CA_TWL_ARDEV_y1979_Lbin38",0.691989,NA
"CA_TWL_ARDEV_y1980_Lbin10",-0.00210831,NA
"CA_TWL_ARDEV_y1980_Lbin11",-0.00193831,NA
"CA_TWL_ARDEV_y1980_Lbin12",-0.00158356,NA
"CA_TWL_ARDEV_y1980_Lbin13",-0.00196151,NA
"CA_TWL_ARDEV_y1980_Lbin14",-0.00152893,NA
"CA_TWL_ARDEV_y1980_Lbin15",-0.00269686,NA
"CA_TWL_ARDEV_y1980_Lbin16",-0.00925963,NA
"CA_TWL_ARDEV_y1980_Lbin17",-0.013438,NA
"CA_TWL_ARDEV_y1980_Lbin18",-0.00434518,NA
"CA_TWL_ARDEV_y1980_Lbin19",-0.00595938,NA
"CA_TWL_ARDEV_y1980_Lbin20",-0.0354026,NA
"CA_TWL_ARDEV_y1980_Lbin21",-0.0652878,NA
"CA_TWL_ARDEV_y1980_Lbin22",-0.136301,NA
"CA_TWL_ARDEV_y1980_Lbin23",-0.211429,NA
"CA_TWL_ARDEV_y1980_Lbin24",-0.235369,NA
"CA_TWL_ARDEV_y1980_Lbin25",-0.315586,NA
"CA_TWL_ARDEV_y1980_Lbin26",-0.133284,NA
"CA_TWL_ARDEV_y1980_Lbin27",-0.176058,NA
"CA_TWL_ARDEV_y1980_Lbin28",-0.0226625,NA
"CA_TWL_ARDEV_y1980_Lbin29",-0.0860361,NA
"CA_TWL_ARDEV_y1980_Lbin30",-0.0696225,NA
"CA_TWL_ARDEV_y1980_Lbin31",-0.112881,NA
"CA_TWL_ARDEV_y1980_Lbin32",0.197416,NA
"CA_TWL_ARDEV_y1980_Lbin33",0.15274,NA
"CA_TWL_ARDEV_y1980_Lbin34",0.0628409,NA
"CA_TWL_ARDEV_y1980_Lbin35",0.069127,NA
"CA_TWL_ARDEV_y1980_Lbin36",0.163726,NA
"CA_TWL_ARDEV_y1980_Lbin37",0.165635,NA
"CA_TWL_ARDEV_y1980_Lbin38",0.113142,NA
"CA_TWL_ARDEV_y1981_Lbin10",-0.000725703,NA
"CA_TWL_ARDEV_y1981_Lbin11",-0.000911638,NA
"CA_TWL_ARDEV_y1981_Lbin12",-0.0015573,NA
"CA_TWL_ARDEV_y1981_Lbin13",-0.00344007,NA
"CA_TWL_ARDEV_y1981_Lbin14",-0.00705139,NA
"CA_TWL_ARDEV_y1981_Lbin15",-0.0118239,NA
"CA_TWL_ARDEV_y1981_Lbin16",-0.016344,NA
"CA_TWL_ARDEV_y1981_Lbin17",-0.0197233,NA
"CA_TWL_ARDEV_y1981_Lbin18",-0.0232568,NA
"CA_TWL_ARDEV_y1981_Lbin19",-0.0302986,NA
"CA_TWL_ARDEV_y1981_Lbin20",-0.0392862,NA
"CA_TWL_ARDEV_y1981_Lbin21",-0.062987,NA
"CA_TWL_ARDEV_y1981_Lbin22",-0.088759,NA
"CA_TWL_ARDEV_y1981_Lbin23",-0.143205,NA
"CA_TWL_ARDEV_y1981_Lbin24",-0.0815503,NA
"CA_TWL_ARDEV_y1981_Lbin25",-0.117351,NA
"CA_TWL_ARDEV_y1981_Lbin26",-0.0188823,NA
"CA_TWL_ARDEV_y1981_Lbin27",-0.0600756,NA
"CA_TWL_ARDEV_y1981_Lbin28",-0.020819,NA
"CA_TWL_ARDEV_y1981_Lbin29",-0.126758,NA
"CA_TWL_ARDEV_y1981_Lbin30",-0.111502,NA
"CA_TWL_ARDEV_y1981_Lbin31",-0.0614895,NA
