"YEAR","est","logse"
"1984",723.726933310681,0.495185693858539
"1985",186.84878760178,0.53519241583074
"1986",55.948937026859,0.489752992190161
"1987",1664.09264450127,0.384877836104466
"1988",2809.09699200763,0.307167939266959
"1989",18.4448279414132,0.434501575976001
"1990",37.7658855053516,0.577737955976742
"1991",87.1127373795352,0.424132769686333
"1992",11.7955460679376,0.496062247973861
"1993",655.451394659839,0.304052797300792
"1994",1.14787039366732,0.78924303207307
"1995",8.20565205529951,0.491102396076866
"1996",3.77271803681245,0.649908793593006
"1997",6.79618756948092,0.565973527761064
"1998",0.0862757420366158,1.28948282666324
"1999",11.702657640813,0.680386246150009
"2000",5.78945976661731,0.686941755136093
"2001",33.8356890683461,0.279102144294053
"2002",81.6238067687725,0.231333715821858
"2003",39.042509366394,0.262889096878867
"2004",85.6073522908747,0.203210223571185
"2005",5.87176231177136,0.45031231292906
"2006",0.244245623430949,0.690078838222955
"2007",1.06081498888568,0.511041272617308
"2008",15.5397393505594,0.439939984363043
"2009",55.7027500930069,0.242724468615789
"2010",133.979207234261,0.304985296563697
"2011",33.937952775244,0.384401852000298
"2012",131.100555154768,0.450600162302564
"2013",6829.17415661427,0.122064352804862
"2014",434.100542582449,0.21583392102508
"2015",608.539183975723,0.214292242979653
"2016",306.300543197999,0.310858905063683
"2017",242.778205486921,0.324232448992576
"2018",50.8862376468256,0.41686351606177
"2019",11.6815291113852,0.474843683031984
"2021",322.371003041931,0.397722239973262
"2022",79.1252794005512,0.457510566054081
"2023",466.719788718788,0.258684020575793
"2024",1214.84509133916,0.22923281494757
