period,N_devs,SD_of_devs,Var_of_devs,mean_SE,mean_SEsquared,sqrt_sum_of_components,SD_of_devs_over_sigma_R,sqrt_sum_over_sigma_R,alternative_sigma_R
Main,57,0.914107923772597,0.835593296303847,0.375621245614035,0.168950023852053,1.00226908570299,0.914107923772597,1.00226908570299,1.00226908570299
Early+Main,57,0.914107923772597,0.835593296303847,0.375621245614035,0.168950023852053,1.00226908570299,0.914107923772597,1.00226908570299,1.00226908570299
Early+Main+Late,57,0.914107923772597,0.835593296303847,0.375621245614035,0.168950023852053,1.00226908570299,0.914107923772597,1.00226908570299,1.00226908570299
