"Label","h=0.25","h=0.3","h=0.35","h=0.4","h=0.45","h=0.5","h=0.55","h=0.6","h=0.65","h=0.7","h=0.72","h=0.75","h=0.8","h=0.85","h=0.9","h=0.95"
"N.Parms",114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
"TOTAL",2622.39,2620.29,2619.34,2618.93,2618.83,2618.91,2619.12,2619.4,2619.73,2620.1,2620.26,2620.5,2620.92,2621.37,2621.89,2622.58
"Survey",22.1798,22.2759,22.4726,22.7239,23.0034,23.2951,23.5903,23.8844,24.1752,24.462,24.5754,24.7443,25.0216,25.2933,25.5583,25.8152
"Length_comp",571.365,570.621,570.103,569.732,569.466,569.28,569.157,569.087,569.061,569.072,569.086,569.115,569.183,569.272,569.377,569.494
"Age_comp",1999.3,2000.26,2000.94,2001.44,2001.8,2002.05,2002.22,2002.32,2002.37,2002.36,2002.35,2002.32,2002.25,2002.16,2002.05,2001.93
"Recruitment",25.2034,24.2137,23.7068,23.4781,23.4187,23.4659,23.5809,23.7377,23.9181,24.1084,24.1847,24.298,24.4794,24.6474,24.7987,24.9319
"Parm_priors",4.33726,2.91486,2.10573,1.55099,1.13851,0.818652,0.565488,0.36434,0.206863,0.0890141,0.0527661,0.0104815,-0.0244682,-0.00363036,0.104752,0.40845
"NatM_uniform_Fem_GP_1",0.185238,0.180991,0.177887,0.175574,0.17385,0.172587,0.171695,0.171105,0.170765,0.170635,0.170632,0.170676,0.170858,0.17115,0.171525,0.17196
"L_at_Amax_Fem_GP_1",48.1459,48.1421,48.1415,48.1429,48.1456,48.1491,48.1532,48.1577,48.1624,48.1673,48.1693,48.1724,48.1775,48.1826,48.1875,48.1924
"VonBert_K_Fem_GP_1",0.194169,0.194221,0.194236,0.194229,0.194208,0.194179,0.194143,0.194103,0.19406,0.194014,0.193995,0.193967,0.193918,0.193869,0.193821,0.193773
"CV_young_Fem_GP_1",0.108165,0.108065,0.108027,0.108027,0.108052,0.108095,0.108151,0.108217,0.108291,0.10837,0.108403,0.108455,0.108542,0.108631,0.10872,0.108808
"CV_old_Fem_GP_1",0.0381255,0.0381255,0.0381073,0.0380785,0.0380434,0.0380046,0.0379636,0.0379212,0.0378781,0.0378346,0.0378172,0.0377912,0.0377482,0.0377063,0.0376657,0.0376268
"NatM_uniform_Mal_GP_1",0.236862,0.244804,0.250767,0.255321,0.25879,0.261385,0.263257,0.264525,0.265282,0.265607,0.265633,0.265572,0.26524,0.26467,0.263922,0.263047
"L_at_Amax_Mal_GP_1",-0.332596,-0.332544,-0.33254,-0.332565,-0.332607,-0.332659,-0.332716,-0.332775,-0.332836,-0.332897,-0.332921,-0.332957,-0.333015,-0.333072,-0.333126,-0.333177
"VonBert_K_Mal_GP_1",0.538365,0.538438,0.538584,0.538763,0.538955,0.539146,0.53933,0.539504,0.539667,0.539817,0.539874,0.539958,0.540088,0.540208,0.540319,0.540422
"CV_young_Mal_GP_1",0.204489,0.20547,0.20589,0.205959,0.205792,0.205466,0.205023,0.204492,0.203896,0.203248,0.202979,0.202561,0.201851,0.201127,0.200405,0.199693
"CV_old_Mal_GP_1",0.105947,0.106241,0.106759,0.107386,0.108065,0.108757,0.109437,0.110095,0.110722,0.111317,0.111547,0.111883,0.11241,0.112904,0.113359,0.11378
"SR_LN(R0)",10.7599,10.6144,10.5151,10.4421,10.3863,10.3429,10.3088,10.282,10.2611,10.2451,10.2399,10.2332,10.2245,10.2187,10.2151,10.2133
"SR_BH_steep",0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.72,0.75,0.8,0.85,0.9,0.95
"Q_extraSD_CalCOFI_Survey(11)",0.289868,0.289883,0.290773,0.292403,0.294649,0.297395,0.300546,0.304025,0.307769,0.311721,0.313347,0.315824,0.320022,0.324258,0.328474,0.332618
"Q_extraSD_RREAS_YOY_Survey(12)",1.25954,1.25003,1.24367,1.23939,1.23659,1.23483,1.23383,1.23341,1.23342,1.23375,1.23395,1.23432,1.23508,1.23596,1.23692,1.23794
"Size_DblN_peak_NoCA_HKL(1)",41.1063,41.1763,41.2224,41.2524,41.2706,41.2799,41.2823,41.2791,41.2713,41.2597,41.2542,41.2452,41.2283,41.2098,41.1903,41.1703
"Size_DblN_ascend_se_NoCA_HKL(1)",4.42098,4.42922,4.43454,4.43793,4.43995,4.44095,4.44117,4.44079,4.43991,4.43863,4.43801,4.43703,4.43519,4.43318,4.43106,4.4289
"Size_DblN_descend_se_NoCA_HKL(1)",5.05769,5.07451,5.08185,5.08337,5.08113,5.07643,5.07007,5.06256,5.05431,5.04565,5.04206,5.03666,5.02766,5.01871,5.01014,5.00186
"Size_DblN_peak_SoCA_HKL(2)",24.2808,24.2727,24.2663,24.2611,24.2567,24.2531,24.2502,24.2479,24.2461,24.2448,24.2445,24.2441,24.2437,24.2437,24.2438,24.2442
"Size_DblN_ascend_se_SoCA_HKL(2)",1.42043,1.41644,1.41332,1.41082,1.40867,1.40696,1.40558,1.40454,1.40371,1.40319,1.40308,1.40293,1.40278,1.40291,1.40299,1.40334
"Size_DblN_descend_se_SoCA_HKL(2)",5.81592,5.80561,5.79742,5.79063,5.78492,5.78006,5.77593,5.77245,5.76954,5.76713,5.76629,5.76517,5.76363,5.76243,5.76156,5.76094
"Size_DblN_peak_CA_TWL(3)",44.8479,44.8359,44.8204,44.8033,44.7857,44.7681,44.7511,44.7347,44.7191,44.7044,44.6987,44.6905,44.6774,44.6654,44.6542,44.644
"Size_DblN_ascend_se_CA_TWL(3)",4.51805,4.51859,4.51837,4.51773,4.51689,4.51595,4.515,4.51407,4.51318,4.51234,4.51202,4.51157,4.51086,4.51021,4.50963,4.50911
"Size_DblN_descend_se_CA_TWL(3)",2.98093,2.98514,2.98766,2.98915,2.98994,2.99023,2.99011,2.98965,2.98889,2.98789,2.98744,2.98669,2.98532,2.98382,2.98223,2.9806
"Size_DblN_peak_OR_WA_Comm(4)",42.6941,42.5538,42.4472,42.3638,42.2906,42.227,42.1724,42.1259,42.087,42.0546,42.0434,42.0282,42.0069,41.9903,41.9779,41.9683
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.55418,4.54112,4.53153,4.52434,4.51791,4.51227,4.50738,4.50317,4.49961,4.49661,4.49555,4.49411,4.49206,4.49042,4.48915,4.4881
"Size_DblN_peak_CA_NET(5)",45.8511,45.9142,45.9537,45.978,45.9916,45.9974,45.9975,45.993,45.985,45.9743,45.9693,45.9613,45.9468,45.9312,45.915,45.8987
"Size_DblN_ascend_se_CA_NET(5)",4.31065,4.31605,4.31942,4.32149,4.32265,4.32315,4.32317,4.32281,4.32215,4.32127,4.32086,4.3202,4.319,4.31771,4.31637,4.31501
"Size_DblN_descend_se_CA_NET(5)",3.63814,3.66676,3.68486,3.69575,3.70143,3.7033,3.70233,3.69918,3.69428,3.68825,3.68554,3.68119,3.67349,3.66544,3.65721,3.64912
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.5958,43.6125,43.6144,43.6077,43.5958,43.581,43.5643,43.5467,43.5285,43.51,43.5027,43.4917,43.4739,43.4572,43.4416,43.4271
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.09928,5.10216,5.10358,5.10414,5.10411,5.10369,5.10299,5.10207,5.10099,5.09978,5.09928,5.09849,5.09716,5.09584,5.09456,5.09333
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.40394,4.40591,4.40468,4.40171,4.3977,4.39321,4.38854,4.38385,4.37929,4.37489,4.37313,4.37061,4.36648,4.3624,4.3584,4.35449
"Size_DblN_peak_SoCA_Rec(7)",24.7333,24.7226,24.7134,24.7053,24.698,24.6916,24.6861,24.6813,24.6772,24.6739,24.6727,24.6711,24.669,24.6673,24.6662,24.6654
"Size_DblN_ascend_se_SoCA_Rec(7)",2.93122,2.92946,2.92786,2.92639,2.92506,2.92386,2.92278,2.92182,2.92097,2.92023,2.91997,2.9196,2.91906,2.9186,2.91822,2.91792
