M_female,BH_steepness,TOTAL,Catch,Equil_catch,Survey,Length_comp,Age_comp,Recruitment,InitEQ_Regime,Forecast_Recruitment,Parm_priors,Parm_softbounds,Parm_devs,Crash_Pen,NLL.change
0.15,0.4,2598.96,1.2292e-10,0,24.3692,572.872,1975.94,24.3045,0,0,1.4682,0.0057136,0,0,2.69999999999982
0.16,0.4,2597.28,7.96916e-11,0,23.4854,572.689,1975.51,24.1187,0,0,1.47095,0.0057019,0,0,1.01999999999998
0.17,0.4,2596.44,5.29375e-11,0,22.8465,572.763,1975.2,24.1089,0,0,1.51302,0.00569385,0,0,0.179999999999836
0.171052,0.4,2596.4,5.08079e-11,0,22.7928,572.781,1975.18,24.1164,1.76148e-31,0,1.51944,0.00569312,0,0,0.139999999999873
0.174703,0.4,2596.32,4.41783e-11,0,22.6258,572.855,1975.13,24.1539,0,0,1.54443,0.00569059,0,0,0.0599999999999454
0.18,0.4,2596.38,3.61896e-11,0,22.4363,573.024,1975.08,24.2381,0,0,1.5877,0.00568741,0,0,0.119999999999891
0.19,0.4,2597.03,2.50368e-11,0,22.2409,573.554,1975.06,24.4808,0,0,1.68964,0.00568607,0,0,0.769999999999982
0.2,0.4,2598.38,1.74529e-11,0,22.2467,574.348,1975.15,24.8133,0,0,1.81447,0.00568889,0,0,2.11999999999989
0.21,0.4,2600.36,1.22519e-11,0,22.4378,575.404,1975.34,25.2151,0,0,1.95861,0.00569965,0,0,4.09999999999991
0.22,0.4,2602.94,8.66184e-12,0,22.7996,576.717,1975.63,25.6683,0,0,2.11911,0.00572508,0,0,6.67999999999984
0.13,0.432765,2604.48,3.33931e-10,0,27.0807,573.761,1977.45,24.8415,3.18806e-31,0,1.34299,0.00575083,0,0,8.2199999999998
0.14,0.432765,2601.09,2.02784e-10,0,25.6539,573.074,1976.79,24.3198,0,0,1.23949,0.0057311,0,0,4.82999999999993
0.15,0.432765,2598.65,1.27127e-10,0,24.5059,572.654,1976.24,24.0417,2.34364e-31,0,1.1945,0.00571447,0,0,2.38999999999987
0.16,0.432765,2597.09,8.1905e-11,0,23.6228,572.505,1975.8,23.96,0,0,1.19726,0.00570292,0,0,0.829999999999927
0.17,0.432765,2596.34,5.4143e-11,0,22.9889,572.6,1975.47,24.0357,0,0,1.23932,0.00569471,0,0,0.0799999999999272
0.171052,0.432765,2596.31,5.19438e-11,0,22.936,572.619,1975.45,24.0512,0,0,1.24575,0.00569393,0,0,0.0499999999997272
0.174703,0.432765,2596.26,4.50716e-11,0,22.772,572.702,1975.4,24.1151,0,0,1.27074,0.0056913,0,0,0
0.18,0.432765,2596.36,3.67824e-11,0,22.5879,572.888,1975.33,24.2343,0,0,1.31401,0.00568822,0,0,0.0999999999999091
0.19,0.432765,2597.1,2.52652e-11,0,22.4055,573.448,1975.29,24.5327,1.39824e-31,0,1.41595,0.00568692,0,0,0.839999999999691
0.2,0.432765,2598.51,1.7477e-11,0,22.4278,574.273,1975.35,24.9084,0,0,1.54077,0.00568986,0,0,2.25
