"Label","M143 time-var. k, matches index","M136, free annual k devs","M116 Pre-STAR base"
"VonBert_K_Fem_GP_1_DEVmult_1997",NA,-0.965501,NA
"VonBert_K_Fem_GP_1_DEVmult_1998",NA,-0.854847,NA
"VonBert_K_Fem_GP_1_DEVmult_1999",NA,-0.254112,NA
"VonBert_K_Fem_GP_1_DEVmult_2000",NA,0.195865,NA
"VonBert_K_Fem_GP_1_DEVmult_2001",NA,-0.36225,NA
"VonBert_K_Fem_GP_1_DEVmult_2002",NA,-0.202078,NA
"VonBert_K_Fem_GP_1_DEVmult_2003",NA,1.01014,NA
"VonBert_K_Fem_GP_1_DEVmult_2004",NA,-0.289955,NA
"VonBert_K_Fem_GP_1_DEVmult_2005",NA,-0.283557,NA
"VonBert_K_Fem_GP_1_DEVmult_2006",NA,-0.789711,NA
"VonBert_K_Fem_GP_1_DEVmult_2007",NA,-0.0987701,NA
"VonBert_K_Fem_GP_1_DEVmult_2008",NA,-0.241038,NA
"VonBert_K_Fem_GP_1_DEVmult_2009",NA,0.87476,NA
"VonBert_K_Fem_GP_1_DEVmult_2010",NA,0.103473,NA
"VonBert_K_Fem_GP_1_DEVmult_2011",NA,0.00949835,NA
"VonBert_K_Fem_GP_1_DEVmult_2012",NA,-0.240248,NA
"VonBert_K_Fem_GP_1_DEVmult_2013",NA,-0.286144,NA
"VonBert_K_Fem_GP_1_DEVmult_2014",NA,-0.00153382,NA
"VonBert_K_Fem_GP_1_DEVmult_2015",NA,-0.696324,NA
"VonBert_K_Fem_GP_1_DEVmult_2016",NA,-0.791036,NA
"VonBert_K_Fem_GP_1_DEVmult_2017",NA,-0.325565,NA
"VonBert_K_Fem_GP_1_DEVmult_2018",NA,0.58189,NA
"VonBert_K_Fem_GP_1_DEVmult_2019",NA,-2.80694,NA
"VonBert_K_Fem_GP_1_DEVmult_2020",NA,-0.134826,NA
"VonBert_K_Fem_GP_1_DEVmult_2021",NA,0.246964,NA
"VonBert_K_Fem_GP_1_DEVmult_2022",NA,0.154247,NA
"VonBert_K_Fem_GP_1_DEVmult_2023",NA,-0.30072,NA
"VonBert_K_Fem_GP_1_DEVmult_2024",NA,-0.296035,NA
"Bratio_2025",0.602879,0.587586,0.602521
"SSB_unfished",14036,13710.3,13944.9
"Totbio_unfished",64717.3,62341,61068.6
"Recr_unfished",33071.4,30485.2,28215.2
"Dead_Catch_SPR",2773.96,2635.91,2508.65
"OFLCatch_2025",3431.14,3287.37,2894.42
