"Label","M112, SS3 k devs","M104, base"
"VonBert_K_Fem_GP_1_DEVmult_2019",-2.78447,NA
"VonBert_K_Fem_GP_1_DEVmult_2020",-0.116742,NA
"VonBert_K_Fem_GP_1_DEVmult_2021",0.266874,NA
"VonBert_K_Fem_GP_1_DEVmult_2022",0.174787,NA
"VonBert_K_Fem_GP_1_DEVmult_2023",-0.279538,NA
"VonBert_K_Fem_GP_1_DEVmult_2024",-0.274066,NA
"Bratio_2025",0.682091,0.705343
"SSB_unfished",11581.6,11553.3
"Totbio_unfished",53660,51705.2
"Recr_unfished",27770.5,25703.1
"Dead_Catch_SPR",2331.08,2197.35
"OFLCatch_2025",3358.9,2966.49
